f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 43410 ,0.12 ,0.03 ,-0.03 ,0.04 ,0.07 ,0.11 ,,,,,,,,,,,,,,
HIP 394 ,-0.25 ,0.10 ,-0.20 ,0.17 ,0.07 ,0.11 ,,,,,,,,,,,,,,
HIP 81300 ,0.15 ,0.15 ,0.12 ,0.04 ,0.13 ,0.16 ,,,,,,,,,,,,,,
HIP 90004 ,0.14 ,0.11 ,-0.14 ,0.04 ,0.38 ,0.11 ,b ,6.404 ,0.0014 ,-0.0014 ,0.248 ,0.023 ,-0.023 ,0.107 ,0.08 ,-0.08 ,0.0659 ,0.0038 ,-0.0038 ,
HIP 99224 ,0.07 ,0.10 ,0.02 ,0.04 ,0.04 ,0.11 ,,,,,,,,,,,,,,
HIP 98714 ,-0.10 ,0.14 ,-0.45 ,0.08 ,0.03 ,0.11 ,b ,1146.6 ,1.9 ,-2.0 ,6.1 ,1.2 ,-1.0 ,0.547 ,0.01 ,-0.011 ,2.293 ,0.031 ,-0.031 ,
HIP 64924 ,0.09 ,0.60 ,0.21 ,0.04 ,0.38 ,0.18 ,b c d ,4.21487 38.021 123.01 ,0.00016 0.034 0.55 ,-0.00016 -0.034 -0.55 ,0.0161 0.057 0.072 ,0.0017 0.003 0.008 ,-0.0016 -0.003 -0.008 ,0.099 0.14 0.35 ,0.091 0.06 0.09 ,-0.07 -0.06 -0.09 ,0.04956 0.2175 0.476 ,0.00065 0.0001 0.001 ,-0.00067 -0.0001 -0.001 ,
HIP 57757 ,0.20 ,0.22 ,0.42 ,0.04 ,0.08 ,0.05 ,,,,,,,,,,,,,,
HIP 45982 ,0.39 ,0.22 ,0.02 ,0.04 ,0.76 ,0.02 ,b ,111.43639 ,0.00032 ,-0.00031 ,4.16 ,0.13 ,-0.13 ,0.93043 ,0.00068 ,-0.00069 ,0.4602 ,0.0068 ,-0.0071 ,
HIP 47007 ,0.26 ,0.20 ,0.26 ,0.13 ,0.66 ,0.32 ,b c ,435.1 219.3 ,1.4 None ,-1.4 None ,1.84 2.01 ,None None ,None None ,0.18 0.359 ,0.04 None ,-0.04 None ,1.18 0.747 ,None None ,None None ,
HIP 69536 ,0.12 ,0.16 ,0.47 ,0.04 ,0.44 ,0.11 ,,,,,,,,,,,,,,
HIP 15776 ,-0.27 ,0.08 ,-0.14 ,0.04 ,0.10 ,0.11 ,b c ,2.38129 25530.0 ,0.00015 2550.0 ,-0.00013 -2320.0 ,0.015 12.8 ,0.002 2.34 ,-0.002 -2.14 ,0.239 0.041 ,0.075 0.003 ,-0.058 -0.008 ,0.034 16.76 ,0.001 1.29 ,-0.002 -1.34 ,
HIP 8102 ,-0.22 ,0.65 ,-0.16 ,0.04 ,-0.04 ,0.11 ,,,,,,,,,,,,,,
HIP 64426 ,-0.37 ,0.14 ,-0.59 ,0.04 ,-0.50 ,0.08 ,,,,,,,,,,,,,,
HIP 77740 ,0.13 ,0.10 ,-0.05 ,0.04 ,0.74 ,0.11 ,b ,653.22 ,1.21 ,-1.21 ,9.316 ,0.329 ,-0.329 ,0.41 ,0.01 ,-0.01 ,1.4877 ,0.0097 ,-0.0097 ,
HIP 56242 ,0.11 ,0.08 ,-0.10 ,0.04 ,1.14 ,0.40 ,,,,,,,,,,,,,,
HIP 33719 ,0.22 ,0.11 ,0.52 ,0.04 ,0.25 ,0.15 ,b ,119.6 ,0.42 ,-0.42 ,1.05 ,0.03 ,-0.03 ,0.35 ,0.03 ,-0.03 ,0.5 ,None ,None ,
HIP 78775 ,-0.28 ,0.17 ,-0.58 ,0.04 ,-0.41 ,0.06 ,,,,,,,,,,,,,,
HIP 49081 ,0.32 ,0.12 ,0.38 ,0.04 ,0.18 ,0.37 ,,,,,,,,,,,,,,
HIP 33212 ,0.02 ,0.12 ,0.89 ,0.04 ,0.79 ,0.11 ,b ,1254.6 ,34.0 ,-34.0 ,3.7 ,None ,None ,0.51 ,0.06 ,-0.06 ,2.22 ,None ,None ,
HIP 83389 ,-0.05 ,0.14 ,-0.29 ,0.04 ,-0.07 ,0.11 ,b ,3342.0 ,95.0 ,-95.0 ,0.947 ,0.09 ,-0.09 ,0.044 ,0.046 ,-0.046 ,4.19 ,0.26 ,-0.26 ,
HIP 86974 ,0.32 ,0.18 ,0.29 ,0.13 ,0.46 ,0.34 ,,,,,,,,,,,,,,
HIP 77760 ,-0.29 ,0.10 ,-0.11 ,0.10 ,0.44 ,0.22 ,,,,,,,,,,,,,,
HIP 82369 ,0.06 ,0.02 ,0.58 ,0.04 ,0.30 ,0.11 ,,,,,,,,,,,,,,
HIP 37826 ,0.16 ,0.27 ,0.18 ,0.04 ,-0.01 ,0.20 ,b ,596.6 ,2.26 ,-2.26 ,2.64 ,0.2 ,-0.2 ,0.011 ,0.033 ,-0.033 ,1.66 ,0.13 ,-0.13 ,
HIP 77257 ,0.11 ,0.06 ,0.17 ,0.12 ,0.42 ,0.34 ,b ,15.5083 ,0.0016 ,-0.0018 ,0.0429 ,0.0046 ,-0.0046 ,0.16 ,0.11 ,-0.1 ,0.1238 ,0.002 ,-0.002 ,
HIP 108490 ,-0.60 ,0.10 ,-0.56 ,0.04 ,-0.47 ,0.11 ,,,,,,,,,,,,,,
HIP 98767 ,0.33 ,0.16 ,0.18 ,0.04 ,0.42 ,0.30 ,b c ,2891.0 17.11704 ,85.0 0.00068 ,-85.0 -0.00063 ,1.502 0.0675 ,0.13 0.0027 ,-0.13 -0.0027 ,0.36 0.165 ,0.03 0.027 ,-0.03 -0.028 ,3.92 0.1294 ,0.2 0.0017 ,-0.2 -0.0017 ,
HIP 9683 ,0.44 ,0.22 ,0.08 ,0.04 ,0.60 ,0.28 ,b c ,262.36 1679.0 ,0.017 29.0 ,-0.016 -29.0 ,2.283 1.83 ,0.061 0.16 ,-0.062 -0.16 ,0.3597 0.017 ,0.0046 0.029 ,-0.0044 -0.029 ,0.824 2.86 ,0.011 0.17 ,-0.011 -0.17 ,
HIP 16852 ,0.02 ,0.17 ,0.15 ,0.18 ,0.05 ,0.07 ,,,,,,,,,,,,,,
HIP 53721 ,0.11 ,0.16 ,0.09 ,0.30 ,0.19 ,0.36 ,b c d ,1076.6 2391.0 14000.0 ,2.3 100.0 4020.0 ,-2.3 -87.0 -5100.0 ,2.45 0.54 1.64 ,0.1 0.066 0.29 ,-0.1 -0.073 -0.48 ,0.012 0.098 0.16 ,0.023 0.047 0.09 ,-0.023 -0.096 -0.16 ,2.1 3.6 11.6 ,0.022 0.1 2.1 ,-0.022 -0.1 -2.9 ,
HIP 79837 ,-0.27 ,0.09 ,-0.01 ,0.04 ,0.27 ,0.11 ,,,,,,,,,,,,,,
HIP 8159 ,0.20 ,0.16 ,0.35 ,0.04 ,0.40 ,0.27 ,b ,1076.4 ,2.4 ,-2.4 ,6.38 ,0.53 ,-0.53 ,0.1023 ,0.0096 ,-0.0096 ,2.16 ,0.12 ,-0.12 ,
HIP 10723 ,0.16 ,0.12 ,0.47 ,0.04 ,0.95 ,0.11 ,,,,,,,,,,,,,,
HIP 3559 ,-0.09 ,0.12 ,0.01 ,0.13 ,0.20 ,0.27 ,,,,,,,,,,,,,,
HIP 47080 ,0.33 ,0.16 ,0.37 ,0.04 ,0.64 ,0.08 ,,,,,,,,,,,,,,
HIP 97767 ,0.05 ,0.10 ,-0.01 ,0.04 ,0.61 ,0.11 ,,,,,,,,,,,,,,
HIP 48113 ,0.21 ,0.13 ,0.43 ,0.04 ,1.23 ,0.28 ,,,,,,,,,,,,,,
HIP 36849 ,-0.54 ,0.08 ,-0.54 ,0.04 ,-0.30 ,0.11 ,,,,,,,,,,,,,,
HIP 68594 ,-2.18 ,1.48 ,-1.07 ,1.29 ,-2.15 ,0.11 ,,,,,,,,,,,,,,
HIP 28671 ,-0.70 ,0.70 ,-0.24 ,0.42 ,-0.51 ,0.11 ,,,,,,,,,,,,,,
