f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 88194 ,-0.02 ,0.22 ,-0.16 ,0.04 ,0.49 ,0.11 ,b ,40.0 ,0.24 ,-0.24 ,0.05078 ,0.00856 ,-0.00856 ,0.088 ,0.12 ,-0.066 ,0.23 ,None ,None ,
HIP 95362 ,-0.10 ,0.09 ,0.04 ,0.04 ,0.16 ,0.11 ,,,,,,,,,,,,,,
HIP 102532 ,0.36 ,0.24 ,0.11 ,0.04 ,0.47 ,0.11 ,,,,,,,,,,,,,,
HIP 96901 ,0.14 ,0.20 ,0.15 ,0.12 ,0.74 ,0.70 ,b ,798.5 ,1.0 ,-1.0 ,1.78 ,0.08 ,-0.08 ,0.68 ,0.02 ,-0.02 ,1.66 ,0.03 ,-0.03 ,
2MASS 18483505+4323217 ,0.08 ,0.04 ,0.42 ,0.04 ,-0.30 ,0.11 ,,,,,,,,,,,,,,
HIP 50316 ,0.09 ,0.06 ,0.30 ,0.04 ,0.75 ,0.11 ,b ,146.05 ,0.43 ,-0.4 ,0.0541 ,0.0126 ,-0.012 ,0.24 ,0.05 ,-0.05 ,0.58 ,0.04 ,-0.04 ,
HIP 24205 ,-0.05 ,0.16 ,0.16 ,0.17 ,0.70 ,0.11 ,,,,,,,,,,,,,,
HIP 38541 ,-1.46 ,0.18 ,-1.67 ,0.04 ,-1.75 ,0.11 ,,,,,,,,,,,,,,
HIP 50319 ,-0.01 ,0.12 ,0.08 ,0.04 ,0.74 ,0.11 ,,,,,,,,,,,,,,
HIP 59532 ,0.18 ,0.24 ,0.13 ,0.06 ,0.78 ,0.11 ,,,,,,,,,,,,,,
HIP 72848 ,0.11 ,0.08 ,0.16 ,0.04 ,0.32 ,0.11 ,,,,,,,,,,,,,,
HIP 102040 ,-0.01 ,0.10 ,0.03 ,0.11 ,0.63 ,0.64 ,,,,,,,,,,,,,,
HIP 16537 ,-0.02 ,0.96 ,-0.10 ,0.24 ,0.05 ,0.03 ,b ,2502.1 ,20.1 ,-20.1 ,1.7 ,None ,None ,0.608 ,0.041 ,-0.041 ,3.4 ,None ,None ,
HIP 56997 ,0.04 ,0.16 ,0.14 ,0.04 ,0.36 ,0.11 ,,,,,,,,,,,,,,
HIP 88745 ,-0.33 ,0.06 ,0.14 ,0.04 ,-0.47 ,0.11 ,,,,,,,,,,,,,,
HIP 8362 ,0.15 ,0.16 ,0.17 ,0.04 ,0.32 ,0.24 ,,,,,,,,,,,,,,
HIP 171 ,-0.39 ,0.21 ,-0.11 ,0.04 ,-0.68 ,0.11 ,,,,,,,,,,,,,,
HIP 73385 ,-1.04 ,0.78 ,0.27 ,0.04 ,-1.07 ,0.11 ,,,,,,,,,,,,,,
HIP 70319 ,-0.17 ,0.14 ,-0.24 ,0.04 ,0.06 ,0.34 ,,,,,,,,,,,,,,
HIP 100017 ,-0.09 ,0.20 ,0.05 ,0.07 ,0.82 ,0.16 ,,,,,,,,,,,,,,
HIP 23221 ,-0.01 ,0.07 ,0.11 ,0.06 ,0.38 ,0.11 ,,,,,,,,,,,,,,
HIP 3765 ,-0.09 ,0.12 ,-0.16 ,0.04 ,-0.15 ,0.11 ,,,,,,,,,,,,,,
HIP 65721 ,0.07 ,0.12 ,-0.04 ,0.17 ,0.22 ,0.18 ,b ,116.688 ,0.0054 ,-0.0054 ,7.416 ,0.057 ,-0.057 ,0.3988 ,0.0019 ,-0.0019 ,0.481 ,0.022 ,-0.022 ,
HIP 52409 ,0.33 ,0.30 ,0.15 ,0.26 ,0.67 ,0.07 ,b c ,325.81 8360.0 ,0.26 540.0 ,-0.26 -390.0 ,3.71 2.81 ,0.17 0.18 ,-0.17 -0.17 ,0.33 0.355 ,0.01 0.057 ,-0.01 -0.052 ,0.95 8.26 ,0.02 0.36 ,-0.02 -0.28 ,
2MASS 19240325+4156544 ,-0.02 ,0.10 ,0.26 ,0.04 ,0.10 ,0.11 ,,,,,,,,,,,,,,
HIP 5315 ,-0.07 ,0.06 ,-0.34 ,0.04 ,0.04 ,0.11 ,,,,,,,,,,,,,,
HIP 98505 ,0.05 ,0.19 ,-0.11 ,0.04 ,0.04 ,0.03 ,b ,2.21857567 ,1.5e-07 ,-1.5e-07 ,1.13 ,0.08 ,-0.08 ,0.0 ,None ,None ,None ,None ,None ,
HIP 67275 ,0.22 ,0.22 ,0.42 ,0.17 ,0.53 ,0.11 ,b ,3.3124534 ,5e-06 ,-5.7e-06 ,4.3 ,0.075 ,-0.075 ,0.0074 ,0.0059 ,-0.0048 ,0.04869 ,0.00039 ,-0.00039 ,
HIP 113357 ,0.24 ,0.12 ,0.35 ,0.04 ,0.12 ,0.34 ,b ,4.2293 ,0.0011 ,-0.0011 ,0.47 ,0.02 ,-0.02 ,0.0 ,None ,None ,None ,None ,None ,
HIP 43726 ,0.17 ,0.14 ,0.09 ,0.04 ,0.35 ,0.37 ,,,,,,,,,,,,,,
HIP 50384 ,-0.18 ,0.05 ,-0.05 ,0.15 ,0.50 ,0.11 ,,,,,,,,,,,,,,
HIP 58576 ,0.28 ,0.29 ,0.33 ,0.04 ,0.71 ,0.14 ,,,,,,,,,,,,,,
HIP 104659 ,-0.69 ,0.62 ,-0.39 ,0.56 ,-0.81 ,0.09 ,,,,,,,,,,,,,,
HIP 110291 ,-0.57 ,0.07 ,-0.61 ,0.04 ,-0.45 ,0.11 ,,,,,,,,,,,,,,
HIP 95447 ,0.49 ,0.28 ,0.54 ,0.04 ,0.73 ,0.71 ,,,,,,,,,,,,,,
HIP 5336 ,-0.46 ,0.23 ,-0.30 ,0.04 ,-0.49 ,0.05 ,,,,,,,,,,,,,,
HIP 70873 ,0.29 ,0.10 ,0.27 ,0.04 ,0.73 ,0.11 ,,,,,,,,,,,,,,
HIP 59610 ,0.02 ,0.19 ,0.08 ,0.25 ,0.69 ,0.11 ,b ,1600.0 ,18.0 ,-18.0 ,7.56 ,None ,None ,0.471 ,0.028 ,-0.028 ,2.7 ,None ,None ,
